file,ground_truth,extracted_text,precision,recall,f1,exact_match_char,elapsed
0031.png,e,,"0,00","0,00","0,00",False,"1,42"
0032.png,atrativo,atrativo,"1,00","1,00","1,00",True,"1,27"
0033.png,para,para,"1,00","1,00","1,00",True,"1,57"
0034.png,turistas.,turistas.,"1,00","1,00","1,00",True,"1,59"
0035.png,igualar,iguais,"0,67","0,57","0,62",False,"0,99"
0036.png,culturas,culturas,"1,00","1,00","1,00",True,"1,96"
0037.png,em,e m,"0,67","1,00","0,80",False,"1,02"
0038.png,um,um,"1,00","1,00","1,00",True,"1,67"
0039.png,país,pais,"0,75","0,75","0,75",False,"1,58"
0040.png,tão,tão,"1,00","1,00","1,00",True,"1,07"
0041.png,"missigenado,",missigenado,"1,00","0,92","0,96",False,"1,06"
0042.png,deveria,deveria.,"0,88","1,00","0,93",False,"1,11"
0043.png,ser,ser,"1,00","1,00","1,00",True,"1,22"
0044.png,uma,uma d,"0,60","1,00","0,75",False,"0,87"
0045.png,tarefa,taref,"1,00","0,83","0,91",False,"1,05"
0046.png,simples,simples,"1,00","1,00","1,00",True,"1,13"
0047.png,já,a',"0,00","0,00","0,00",False,"1,14"
0048.png,que,que,"1,00","1,00","1,00",True,"1,26"
0049.png,convivemos,convivemos.,"0,91","1,00","0,95",False,"1,43"
0050.png,com,com,"1,00","1,00","1,00",True,"1,06"
0051.png,tantas,tantas,"1,00","1,00","1,00",True,"1,10"
0052.png,pessoas,pessoas,"1,00","1,00","1,00",True,"1,23"
0053.png,diferentes,diferentes,"1,00","1,00","1,00",True,"1,11"
0054.png,em,e ro.,"0,20","0,50","0,29",False,"1,21"
0055.png,nossa,nossa,"1,00","1,00","1,00",True,"2,02"
0056.png,sociedade.,sociedade.,"1,00","1,00","1,00",True,"1,16"
0057.png,mesmo,mesmo,"1,00","1,00","1,00",True,"2,85"
0058.png,com,.com,"0,75","1,00","0,86",False,"0,94"
0059.png,os,,"0,00","0,00","0,00",False,"1,72"
0060.png,avan-,avant,"0,80","0,80","0,80",False,"1,86"
0061.png,ços,gas,"0,33","0,33","0,33",False,"1,83"
0062.png,nos,nos,"1,00","1,00","1,00",True,"0,94"
0063.png,"direitos,",direitos,"1,00","0,89","0,94",False,"1,23"
0064.png,existem,existem,"1,00","1,00","1,00",True,"0,95"
0065.png,muitos,muitos,"1,00","1,00","1,00",True,"3,04"
0066.png,casos,casos,"1,00","1,00","1,00",True,"1,39"
0067.png,de,de,"1,00","1,00","1,00",True,"1,06"
0068.png,"desrespeito,","desrespeito,","1,00","1,00","1,00",True,"1,10"
0069.png,in-,,"0,00","0,00","0,00",False,"1,29"
0070.png,tolerança,tolerância,"0,70","0,78","0,74",False,"1,21"
0071.png,e,,"0,00","0,00","0,00",False,"1,81"
0072.png,discriminação,discriminação,"1,00","1,00","1,00",True,"1,25"
0073.png,com,com,"1,00","1,00","1,00",True,"1,32"
0074.png,participantes,participantes.,"0,93","1,00","0,96",False,"1,28"
0075.png,de,de,"1,00","1,00","1,00",True,"3,72"
0076.png,determi-,determi-,"1,00","1,00","1,00",True,"1,11"
0077.png,nadas,nadas,"1,00","1,00","1,00",True,"1,05"
0078.png,culturas.,culturais.,"0,90","1,00","0,95",False,"1,28"
0079.png,há,há,"1,00","1,00","1,00",True,"1,17"
0080.png,preconceito,preconceito,"1,00","1,00","1,00",True,"0,96"
0081.png,em,com,"0,33","0,50","0,40",False,"4,27"
0082.png,todos,"todos,","0,83","1,00","0,91",False,"1,06"
0083.png,os,,"0,00","0,00","0,00",False,"1,84"
0084.png,tipos,tipos,"1,00","1,00","1,00",True,"1,53"
0085.png,de,de,"1,00","1,00","1,00",True,"1,85"
0086.png,manifestações,manifestacões,"0,92","0,92","0,92",False,"1,13"
0087.png,cultu-,cultu,"1,00","0,83","0,91",False,"1,25"
0088.png,"rais,",raiz,"0,75","0,60","0,67",False,"2,03"
0089.png,tendo,tendo,"1,00","1,00","1,00",True,"1,16"
0090.png,foco,faco,"0,75","0,75","0,75",False,"91,65"
0091.png,nas,nas,"1,00","1,00","1,00",True,"1,12"
0092.png,mais,máis,"0,75","0,75","0,75",False,"5,22"
0093.png,diferentes,diferentes,"1,00","1,00","1,00",True,"1,20"
0094.png,do,da,"0,50","0,50","0,50",False,"1,34"
0095.png,padrão,padrão,"1,00","1,00","1,00",True,"4,56"
0096.png,criado,criado,"1,00","1,00","1,00",True,"2,58"
0097.png,pela,pela,"1,00","1,00","1,00",True,"1,32"
0098.png,"população,",população,"1,00","0,90","0,95",False,"1,06"
0099.png,principalmente,principalmente,"1,00","1,00","1,00",True,"1,41"
0100.png,as,as,"1,00","1,00","1,00",True,"1,14"
0101.png,que,que,"1,00","1,00","1,00",True,"2,60"
0102.png,envolve,enude,"0,60","0,43","0,50",False,"1,23"
0103.png,povos,paulos,"0,50","0,60","0,55",False,"1,03"
0104.png,negros,ne gros,"0,86","1,00","0,92",False,"1,85"
0105.png,que,que,"1,00","1,00","1,00",True,"1,24"
0106.png,permanecem,perma ne cem,"0,83","1,00","0,91",False,"1,19"
0107.png,com,com,"1,00","1,00","1,00",True,"1,26"
0108.png,suas,suas,"1,00","1,00","1,00",True,"1,33"
0109.png,tradições,tradições,"1,00","1,00","1,00",True,"0,97"
0110.png,trazidas,trazidas,"1,00","1,00","1,00",True,"5,11"
0111.png,de,de,"1,00","1,00","1,00",True,"1,06"
0112.png,seu,seu,"1,00","1,00","1,00",True,"1,12"
0113.png,países.,paises,"0,83","0,71","0,77",False,"1,17"
0114.png,o,,"0,00","0,00","0,00",False,"1,05"
0115.png,ensino,ensino,"1,00","1,00","1,00",True,"1,25"
0116.png,da,da,"1,00","1,00","1,00",True,"1,09"
0117.png,pluralidade,pluráridade,"0,82","0,82","0,82",False,"3,27"
0118.png,e,,"0,00","0,00","0,00",False,"0,82"
0119.png,diversidade,diversidade,"1,00","1,00","1,00",True,"1,84"
0120.png,do,,"0,00","0,00","0,00",False,"1,41"
0121.png,lu-,,"0,00","0,00","0,00",False,"1,30"
0122.png,gar,gar,"1,00","1,00","1,00",True,"0,83"
0123.png,onde,ondas,"0,60","0,75","0,67",False,"1,03"
0124.png,vivemos,vivemos,"1,00","1,00","1,00",True,"1,44"
0125.png,deve,deve,"1,00","1,00","1,00",True,"1,19"
0126.png,ser,ser,"1,00","1,00","1,00",True,"1,18"
0127.png,implantado,implantado,"1,00","1,00","1,00",True,"1,23"
0128.png,nas,nas,"1,00","1,00","1,00",True,"1,06"
0129.png,ins-,ins,"1,00","0,75","0,86",False,"1,02"
0130.png,tituições,tituicações,"0,82","1,00","0,90",False,"1,17"
0131.png,de,de,"1,00","1,00","1,00",True,"1,03"
0132.png,ensino,en sino,"0,86","1,00","0,92",False,"1,20"
0133.png,de,de,"1,00","1,00","1,00",True,"1,31"
0134.png,nosso,nosso,"1,00","1,00","1,00",True,"1,07"
0135.png,"país,",páis,"0,50","0,40","0,44",False,"1,50"
0136.png,para,para,"1,00","1,00","1,00",True,"0,96"
0137.png,apren-,apren,"1,00","0,83","0,91",False,"1,04"
0138.png,dermos,dermos,"1,00","1,00","1,00",True,"1,34"
0139.png,desde,desde,"1,00","1,00","1,00",True,"1,45"
0140.png,cedo,cedo,"1,00","1,00","1,00",True,"4,44"
0141.png,a,,"0,00","0,00","0,00",False,"1,12"
0142.png,valorizar,valorizar,"1,00","1,00","1,00",True,"1,61"
0143.png,e,,"0,00","0,00","0,00",False,"1,27"
0144.png,enaltecer,enaltere,"0,88","0,78","0,82",False,"1,11"
0145.png,a,,"0,00","0,00","0,00",False,"1,22"
0146.png,nossa,nossa,"1,00","1,00","1,00",True,"1,23"
0147.png,cultura.,cultura.,"1,00","1,00","1,00",True,"1,38"
0148.png,tendo,tendo,"1,00","1,00","1,00",True,"2,18"
0149.png,em,em.,"0,67","1,00","0,80",False,"3,27"
0150.png,vista,vista,"1,00","1,00","1,00",True,"1,08"
0151.png,as,.as,"0,67","1,00","0,80",False,"2,80"
0152.png,falhas,falhas,"1,00","1,00","1,00",True,"2,14"
0153.png,"governamentais,",governamentais,"1,00","0,93","0,97",False,"1,31"
0154.png,é,,"0,00","0,00","0,00",False,"0,88"
0155.png,dever,dever,"1,00","1,00","1,00",True,"1,12"
0156.png,do,do,"1,00","1,00","1,00",True,"1,01"
0157.png,estado,estado,"1,00","1,00","1,00",True,"2,01"
0158.png,por,por,"1,00","1,00","1,00",True,"1,02"
0159.png,meio,meio,"1,00","1,00","1,00",True,"1,43"
0160.png,da,da,"1,00","1,00","1,00",True,"1,18"
0161.png,lei,lei,"1,00","1,00","1,00",True,"0,88"
0162.png,rouanet,rouanet,"1,00","1,00","1,00",True,"1,31"
0163.png,(lei,lei,"1,00","0,75","0,86",False,"1,08"
0164.png,federal,federal,"1,00","1,00","1,00",True,"2,37"
0165.png,de,de,"1,00","1,00","1,00",True,"1,69"
0166.png,in-,l,"0,00","0,00","0,00",False,"0,92"
0167.png,centivo,centiuno,"0,75","0,86","0,80",False,"1,33"
0168.png,à,,"0,00","0,00","0,00",False,"1,64"
0169.png,cultura,cultura,"1,00","1,00","1,00",True,"3,89"
0170.png,nº,n°,"0,50","0,50","0,50",False,"2,20"
0171.png,8.313),8.313),"1,00","1,00","1,00",True,"1,02"
0172.png,incentivar,incentivar,"1,00","1,00","1,00",True,"1,22"
0173.png,a,,"0,00","0,00","0,00",False,"1,11"
0174.png,valoriza-,valoriza-,"1,00","1,00","1,00",True,"1,34"
0175.png,ção,cão,"0,67","0,67","0,67",False,"1,94"
0176.png,das,olas,"0,50","0,67","0,57",False,"1,03"
0177.png,manifestações,mdnhifestacões,"0,79","0,85","0,81",False,"10,33"
0178.png,"culturais,","culturais,","1,00","1,00","1,00",True,"1,62"
0179.png,garantindo,garantindo,"1,00","1,00","1,00",True,"1,36"
0180.png,a,,"0,00","0,00","0,00",False,"1,68"
0181.png,todos,todos,"1,00","1,00","1,00",True,"1,06"
0182.png,a,,"0,00","0,00","0,00",False,"1,94"
0183.png,plena,plena,"1,00","1,00","1,00",True,"1,23"
0184.png,liberdade,liberdade,"1,00","1,00","1,00",True,"1,29"
0185.png,de,de,"1,00","1,00","1,00",True,"1,43"
0186.png,expressar,expressar,"1,00","1,00","1,00",True,"1,12"
0187.png,suas,sudas,"0,80","1,00","0,89",False,"1,38"
0188.png,culturas,culturais,"0,89","1,00","0,94",False,"1,34"
0189.png,e,,"0,00","0,00","0,00",False,"1,61"
0190.png,costumes.,costumes.,"1,00","1,00","1,00",True,"1,08"
