file,ground_truth,extracted_text,similarity,exact_match
0056.png,sociedade.,sociedade.,"1,00",True
0057.png,mesmo,mesmo,"1,00",True
0058.png,com,c.com,"0,75",False
0059.png,os,los,"0,80",False
0060.png,avan-,avant,"0,80",False
0061.png,ços,gos,"0,67",False
0062.png,nos,nos,"1,00",True
0063.png,"direitos,",direitos,"0,94",False
0064.png,existem,existem,"1,00",True
0065.png,muitos,muitos,"1,00",True
0066.png,casos,casos,"1,00",True
0067.png,de,de,"1,00",True
0068.png,"desrespeito,","desrespeito,","1,00",True
0069.png,in-,is =,"0,29",False
0070.png,tolerança,tolerança,"1,00",True
0071.png,e,e,"1,00",True
0072.png,discriminação,discriminação,"1,00",True
0073.png,com,com,"1,00",True
0074.png,participantes,participantes,"1,00",True
0075.png,de,de,"1,00",True
0076.png,determi-,determi-,"1,00",True
0077.png,nadas,nadas,"1,00",True
0078.png,culturas.,cultur as.,"0,95",False
0079.png,há,hà,"0,50",False
0080.png,preconceito,preconceito,"1,00",True
0081.png,em,com,"0,40",False
0082.png,todos,"todos,","0,91",False
0083.png,os,os,"1,00",True
0084.png,tipos,tipos,"1,00",True
0085.png,de,de,"1,00",True
0086.png,manifestações,manifestacoes,"0,85",False
0087.png,cultu-,cultu,"0,91",False
0088.png,"rais,",raist,"0,80",False
0089.png,tendo,tendo,"1,00",True
0090.png,foco,faco,"0,75",False
0091.png,nas,nas,"1,00",True
0092.png,mais,màis,"0,75",False
0093.png,diferentes,diferentes,"1,00",True
0094.png,do,da,"0,50",False
0095.png,padrão,padrão,"1,00",True
0096.png,criado,criado,"1,00",True
0097.png,pela,pela,"1,00",True
0098.png,"população,",população,"0,95",False
0099.png,principalmente,principalmente,"1,00",True
0100.png,as,as,"1,00",True
0101.png,que,que,"1,00",True
0102.png,envolve,enudlue,"0,57",False
0103.png,povos,paulos,"0,55",False
0104.png,negros,ne gros,"0,92",False
0105.png,que,que,"1,00",True
0106.png,permanecem,perma ne cem,"0,91",False
0107.png,com,com,"1,00",True
0108.png,suas,suas,"1,00",True
0109.png,tradições,tradições,"1,00",True
0110.png,trazidas,trazidas,"1,00",True
0111.png,de,de,"1,00",True
0112.png,seu,seu,"1,00",True
0113.png,países.,paises,"0,77",False
0114.png,o,o,"1,00",True
0115.png,ensino,ensino,"1,00",True
0116.png,da,da,"1,00",True
0117.png,pluralidade,pluràridàde,"0,73",False
0118.png,e,e,"1,00",True
0119.png,diversidade,diversidade,"1,00",True
0120.png,do,do,"1,00",True
0121.png,lu-,wu.,"0,33",False
0122.png,gar,gar,"1,00",True
0123.png,onde,ondele,"0,80",False
0124.png,vivemos,vivemos,"1,00",True
0125.png,deve,deue,"0,75",False
0126.png,ser,ser,"1,00",True
0127.png,implantado,implantado,"1,00",True
0128.png,nas,nas,"1,00",True
0129.png,ins-,ions,"0,75",False
0130.png,tituições,tituicações,"0,90",False
0131.png,de,de,"1,00",True
0132.png,ensino,en sin,"0,83",False
0133.png,de,de,"1,00",True
0134.png,nosso,posso,"0,80",False
0135.png,"país,",pais,"0,67",False
0136.png,para,para,"1,00",True
0137.png,apren-,aprent,"0,83",False
0138.png,dermos,dermos,"1,00",True
0139.png,desde,desde,"1,00",True
0140.png,cedo,cedo,"1,00",True
0141.png,a,,"0,00",False
0142.png,valorizar,valorizar,"1,00",True
0143.png,e,e,"1,00",True
0144.png,enaltecer,enalterer,"0,89",False
0145.png,a,,"0,00",False
0146.png,nossa,nossa,"1,00",True
0147.png,cultura.,cultura.,"1,00",True
0148.png,tendo,tendo,"1,00",True
0149.png,em,em.,"0,80",False
0150.png,vista,vista,"1,00",True
0151.png,as,..as,"0,67",False
0152.png,falhas,falhas,"1,00",True
0153.png,"governamentais,",governmen tais,"0,90",False
0154.png,é,م,"0,00",False
0155.png,dever,dever,"1,00",True
0156.png,do,do,"1,00",True
0157.png,estado,estado,"1,00",True
0158.png,por,por,"1,00",True
0159.png,meio,meio,"1,00",True
0160.png,da,da,"1,00",True
0161.png,lei,lei,"1,00",True
0162.png,rouanet,rouanet,"1,00",True
0163.png,(lei,(lei),"0,89",False
0164.png,federal,federal,"1,00",True
0165.png,de,de,"1,00",True
0166.png,in-,l,"0,00",False
0167.png,centivo,centi,"0,83",False
0168.png,à,a,"0,00",False
0169.png,cultura,cultura,"1,00",True
0170.png,nº,n°,"0,50",False
0171.png,8.313),8.313),"1,00",True
0172.png,incentivar,incentivar,"1,00",True
0173.png,a,6,"0,00",False
0174.png,valoriza-,valoriza-,"1,00",True
0175.png,ção,cão,"0,67",False
0176.png,das,olas,"0,57",False
0177.png,manifestações,manifestações,"0,79",False
0178.png,"culturais,","culturais,","1,00",True
0179.png,garantindo,garantindo,"1,00",True
0180.png,a,,"0,00",False
0181.png,todos,todos,"1,00",True
0182.png,a,d,"0,00",False
0183.png,plena,splend,"0,73",False
0184.png,liberdade,liberdade,"1,00",True
0185.png,de,de,"1,00",True
0186.png,expressar,expressan,"0,89",False
0187.png,suas,sud,"0,57",False
0188.png,culturas,culturas',"0,94",False
0189.png,e,,"0,00",False
0190.png,costumes.,costumes.,"1,00",True
